name,percentage_positive_review,review_qualification,all_reviews
Costumes by Tamiki Wakaki Set,-1,,"3 user reviews,- Need more user reviews to generate a score"
Guise Of The Wolf,31,Mostly Negative,"Mostly Negative,(108),- 31% of the 108 user reviews for this game are positive."
Crimson Tide: Operation Online,21,Mostly Negative,"Mostly Negative,(14),- 21% of the 14 user reviews for this game are positive."
XCOM 2: Resistance Warrior Pack,37,Mostly Negative,"Mostly Negative,(101),- 37% of the 101 user reviews for this game are positive."
All Evil Night,-1,,"5 user reviews,- Need more user reviews to generate a score"
Distorted Reality,29,Mostly Negative,"Mostly Negative,(17),- 29% of the 17 user reviews for this game are positive."
Better Late Than DEAD,31,Mostly Negative,"Mostly Negative,(579),- 31% of the 579 user reviews for this game are positive."
Voxelized,33,Mostly Negative,"Mostly Negative,(2,081),- 33% of the 2,081 user reviews for this game are positive."
鉄道運転士VR,-1,,"4 user reviews,- Need more user reviews to generate a score"
Zombie Crisis: Last One Standing,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
World Basketball Manager 2010,23,Mostly Negative,"Mostly Negative,(72),- 23% of the 72 user reviews for this game are positive."
Dread station,-1,,"8 user reviews,- Need more user reviews to generate a score"
TOS - New Rank Booster for SA Servers,-1,,"3 user reviews,- Need more user reviews to generate a score"
Uncanny Islands,-1,,"5 user reviews,- Need more user reviews to generate a score"
Total War: ROME II - Blood & Gore,34,Mostly Negative,"Mostly Negative,(747),- 34% of the 747 user reviews for this game are positive."
3DMark Time Spy benchmark,21,Mostly Negative,"Mostly Negative,(137),- 21% of the 137 user reviews for this game are positive."
Love or Loved - A Bullet For My Valentine,-1,,"4 user reviews,- Need more user reviews to generate a score"
Towns,25,Mostly Negative,"Mostly Negative,(2,136),- 25% of the 2,136 user reviews for this game are positive."
Fitzzle Cute Kittens Pack,-1,,
Battle Of Keys,-1,,"5 user reviews,- Need more user reviews to generate a score"
Game Server Toolbox,-1,,"8 user reviews,- Need more user reviews to generate a score"
FreeFlight,-1,,"4 user reviews,- Need more user reviews to generate a score"
DYNASTY WARRIORS 9:Season Pass/真・三國無双８:シーズンパス,39,Mostly Negative,"Mostly Negative,(86),- 39% of the 86 user reviews for this game are positive."
Kamikazo VR,-1,,"4 user reviews,- Need more user reviews to generate a score"
Yuzi Lims: anime runner,30,Mostly Negative,"Mostly Negative,(26),- 30% of the 26 user reviews for this game are positive."
My Beastly Lovers,-1,,"3 user reviews,- Need more user reviews to generate a score"
RICHCODE富豪密码,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
Trailer Park Boys: Greasy Money - Orangie's Party Pack,-1,,"3 user reviews,- Need more user reviews to generate a score"
Zombieland,30,Mostly Negative,"Mostly Negative,(299),- 30% of the 299 user reviews for this game are positive."
THE ARCHER: Dead Hunt,30,Mostly Negative,"Mostly Negative,(10),- 30% of the 10 user reviews for this game are positive."
I Hate Heroes: Rocket Man,-1,,"3 user reviews,- Need more user reviews to generate a score"
Feed Eve,-1,,"5 user reviews,- Need more user reviews to generate a score"
Progetto Ustica,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Ghost Platoon,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
Cunning Fox,-1,,"5 user reviews,- Need more user reviews to generate a score"
Europa Universalis IV: Fredman's Epistles,38,Mostly Negative,"Mostly Negative,(31),- 38% of the 31 user reviews for this game are positive."
Content Pack - Europa Universalis IV: Mare Nostrum,31,Mostly Negative,"Mostly Negative,(35),- 31% of the 35 user reviews for this game are positive."
VR Karts SteamVR,36,Mostly Negative,"Mostly Negative,(46),- 36% of the 46 user reviews for this game are positive."
Puzzle Ball,37,Mostly Negative,"Mostly Negative,(32),- 37% of the 32 user reviews for this game are positive."
Dead Forest,37,Mostly Negative,"Mostly Negative,(16),- 37% of the 16 user reviews for this game are positive."
Hydroactive,-1,,"4 user reviews,- Need more user reviews to generate a score"
Slime CCG,35,Mostly Negative,"Mostly Negative,(76),- 35% of the 76 user reviews for this game are positive."
Holy Towers,-1,,"6 user reviews,- Need more user reviews to generate a score"
Edge of Space,36,Mostly Negative,"Mostly Negative,(1,883),- 36% of the 1,883 user reviews for this game are positive."
Godus,26,Mostly Negative,"Mostly Negative,(5,484),- 26% of the 5,484 user reviews for this game are positive."
Blockscape,37,Mostly Negative,"Mostly Negative,(674),- 37% of the 674 user reviews for this game are positive."
Little Imps: A Dungeon Builder,38,Mostly Negative,"Mostly Negative,(18),- 38% of the 18 user reviews for this game are positive."
Bus-Simulator 2012,34,Mostly Negative,"Mostly Negative,(805),- 34% of the 805 user reviews for this game are positive."
Mission XAM,-1,,"3 user reviews,- Need more user reviews to generate a score"
Whiplash - Crash Valley,37,Mostly Negative,"Mostly Negative,(137),- 37% of the 137 user reviews for this game are positive."
RUGBY 18,34,Mostly Negative,"Mostly Negative,(50),- 34% of the 50 user reviews for this game are positive."
RECYCLE,37,Mostly Negative,"Mostly Negative,(172),- 37% of the 172 user reviews for this game are positive."
MineFight,22,Mostly Negative,"Mostly Negative,(130),- 22% of the 130 user reviews for this game are positive."
Wheel Riders Online OBT,22,Mostly Negative,"Mostly Negative,(246),- 22% of the 246 user reviews for this game are positive."
Sky Reaper,-1,,"8 user reviews,- Need more user reviews to generate a score"
THE QUIET MAN™,34,Mostly Negative,"Mostly Negative,(323),- 34% of the 323 user reviews for this game are positive."
Stellar 2D,38,Mostly Negative,"Mostly Negative,(762),- 38% of the 762 user reviews for this game are positive."
Motorcycle Club,21,Mostly Negative,"Mostly Negative,(33),- 21% of the 33 user reviews for this game are positive."
Mars or Die!,30,Mostly Negative,"Mostly Negative,(26),- 30% of the 26 user reviews for this game are positive."
Bless Online,39,Mostly Negative,"Mostly Negative,(9,912),- 39% of the 9,912 user reviews for this game are positive."
Micro Machines World Series,23,Mostly Negative,"Mostly Negative,(177),- 23% of the 177 user reviews for this game are positive."
Tiamat X,37,Mostly Negative,"Mostly Negative,(37),- 37% of the 37 user reviews for this game are positive."
FPV Air Tracks,33,Mostly Negative,"Mostly Negative,(151),- 33% of the 151 user reviews for this game are positive."
Helicopter Simulator 2014: Search and Rescue,29,Mostly Negative,"Mostly Negative,(227),- 29% of the 227 user reviews for this game are positive."
All Stars Racing Cup,-1,,"8 user reviews,- Need more user reviews to generate a score"
NOBUNAGA'S AMBITION: Tenshouki WPK HD Version / 信長の野望・天翔記 with パワーアップキット HD Version,38,Mostly Negative,"Mostly Negative,(13),- 38% of the 13 user reviews for this game are positive."
Amigo Fishing,38,Mostly Negative,"Mostly Negative,(18),- 38% of the 18 user reviews for this game are positive."
Beer Pong VR,-1,,"4 user reviews,- Need more user reviews to generate a score"
Space Raiders RPG,-1,,"4 user reviews,- Need more user reviews to generate a score"
Tennis Kings VR,-1,,"3 user reviews,- Need more user reviews to generate a score"
Brutalism,-1,,"3 user reviews,- Need more user reviews to generate a score"
DesertShootout,-1,,"3 user reviews,- Need more user reviews to generate a score"
FSX Steam Edition: Mooney M20J Add-On,-1,,"3 user reviews,- Need more user reviews to generate a score"
FSX Steam Edition: Dunkirk Spitfire Add-On,-1,,"3 user reviews,- Need more user reviews to generate a score"
魔王村长和杂货店-Hero Village Simulator,23,Mostly Negative,"Mostly Negative,(13),- 23% of the 13 user reviews for this game are positive."
Dusk Of Confinement,28,Mostly Negative,"Mostly Negative,(14),- 28% of the 14 user reviews for this game are positive."
Nostradamus - The Four Horsemen of the Apocalypse,-1,,"3 user reviews,- Need more user reviews to generate a score"
Fairy of the treasures,28,Mostly Negative,"Mostly Negative,(25),- 28% of the 25 user reviews for this game are positive."
Warbot,-1,,"7 user reviews,- Need more user reviews to generate a score"
Freestyle 2 - Silver Fox Star Pack,-1,,"3 user reviews,- Need more user reviews to generate a score"
Far Cry® 5 - Hours of Darkness,34,Mostly Negative,"Mostly Negative,(893),- 34% of the 893 user reviews for this game are positive."
akda,26,Mostly Negative,"Mostly Negative,(23),- 26% of the 23 user reviews for this game are positive."
The Intern,30,Mostly Negative,"Mostly Negative,(10),- 30% of the 10 user reviews for this game are positive."
Stage Fright,25,Mostly Negative,"Mostly Negative,(12),- 25% of the 12 user reviews for this game are positive."
Sad City 42,27,Mostly Negative,"Mostly Negative,(18),- 27% of the 18 user reviews for this game are positive."
Confederate Express,-1,,"4 user reviews,- Need more user reviews to generate a score"
MIND TWINS - The Twisted Co-op Platformer,30,Mostly Negative,"Mostly Negative,(10),- 30% of the 10 user reviews for this game are positive."
Flight Unlimited 2K18,26,Mostly Negative,"Mostly Negative,(15),- 26% of the 15 user reviews for this game are positive."
MotoGP™14 Compact,31,Mostly Negative,"Mostly Negative,(54),- 31% of the 54 user reviews for this game are positive."
VR DREAM MATCH BASEBALL,-1,,"4 user reviews,- Need more user reviews to generate a score"
Demon And Fairy,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
FIGHTING BOX,-1,,"6 user reviews,- Need more user reviews to generate a score"
Blacksmith Simulator,35,Mostly Negative,"Mostly Negative,(48),- 35% of the 48 user reviews for this game are positive."
Bounce Ball,-1,,"4 user reviews,- Need more user reviews to generate a score"
The Flight Of Dowran,-1,,"3 user reviews,- Need more user reviews to generate a score"
RPG Maker MV - Fantastic Buildings: Medieval,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
President Evil,25,Mostly Negative,"Mostly Negative,(16),- 25% of the 16 user reviews for this game are positive."
Anti Gravity Warriors VR,33,Mostly Negative,"Mostly Negative,(12),- 33% of the 12 user reviews for this game are positive."
Brick Breaker Ultimate,-1,,"9 user reviews,- Need more user reviews to generate a score"
Kim Jong-Boom,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
Lost in the Forest,-1,,"7 user reviews,- Need more user reviews to generate a score"
Signs Of Darkness,-1,,"7 user reviews,- Need more user reviews to generate a score"
Ancient Battle: Hannibal,-1,,"3 user reviews,- Need more user reviews to generate a score"
Iron Knight,37,Mostly Negative,"Mostly Negative,(29),- 37% of the 29 user reviews for this game are positive."
Kick The Puppet,-1,,"5 user reviews,- Need more user reviews to generate a score"
Square Head Zombies - FPS Game,36,Mostly Negative,"Mostly Negative,(11),- 36% of the 11 user reviews for this game are positive."
Moon Colonization Project,38,Mostly Negative,"Mostly Negative,(44),- 38% of the 44 user reviews for this game are positive."
Crawl Space: The Mansion,-1,,"5 user reviews,- Need more user reviews to generate a score"
DROP VR - AUDIO VISUALIZER,-1,,"4 user reviews,- Need more user reviews to generate a score"
The Hospital: Allison's Diary,20,Mostly Negative,"Mostly Negative,(10),- 20% of the 10 user reviews for this game are positive."
Clash of Magic VR,-1,,"5 user reviews,- Need more user reviews to generate a score"
Liquidator,35,Mostly Negative,"Mostly Negative,(17),- 35% of the 17 user reviews for this game are positive."
Tales From The Dragon Mountain 2: The Lair,-1,,"9 user reviews,- Need more user reviews to generate a score"
Smaceshi's Castles,-1,,"3 user reviews,- Need more user reviews to generate a score"
Premier Buggy Racing Tour,25,Mostly Negative,"Mostly Negative,(16),- 25% of the 16 user reviews for this game are positive."
BLOK DROP NEO,-1,,"3 user reviews,- Need more user reviews to generate a score"
NaziShoot,27,Mostly Negative,"Mostly Negative,(11),- 27% of the 11 user reviews for this game are positive."
Soccer Simulation,-1,,"5 user reviews,- Need more user reviews to generate a score"
>Mars Taken,25,Mostly Negative,"Mostly Negative,(12),- 25% of the 12 user reviews for this game are positive."
Psi Project: Legacy,35,Mostly Negative,"Mostly Negative,(17),- 35% of the 17 user reviews for this game are positive."
SOULCALIBUR VI - DLC5: Character Creation Set B,31,Mostly Negative,"Mostly Negative,(19),- 31% of the 19 user reviews for this game are positive."
Killbot,26,Mostly Negative,"Mostly Negative,(73),- 26% of the 73 user reviews for this game are positive."
E-Book Crusader Kings II: Tales of Treachery,-1,,"7 user reviews,- Need more user reviews to generate a score"
Bell Ringer,29,Mostly Negative,"Mostly Negative,(17),- 29% of the 17 user reviews for this game are positive."
Paradise Lost: FPS Cosmic Horror Game,-1,,"8 user reviews,- Need more user reviews to generate a score"
Soldier of Failure: Operation Zombie,30,Mostly Negative,"Mostly Negative,(10),- 30% of the 10 user reviews for this game are positive."
Hand of Fate 2 Soundtrack,-1,,"8 user reviews,- Need more user reviews to generate a score"
Pinball,-1,,"4 user reviews,- Need more user reviews to generate a score"
TAD: That Alien Dude,-1,,"5 user reviews,- Need more user reviews to generate a score"
3D Tower,37,Mostly Negative,"Mostly Negative,(16),- 37% of the 16 user reviews for this game are positive."
